sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
4688000000,전라남도 장성군,360,79,2141,3129,3621,399,1099,891,11719,0.0,0.0,0.0,1000.0,30.0,62.41,1.0,1.0
4689000000,전라남도 완도군,76,0,56,124,48,4,59,52,419,0.0,0.0,0.0,300.0,40.0,29.25,1.0,1.0
4690000000,전라남도 진도군,54,0,46,105,24,3,46,50,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4691000000,전라남도 신안군,238,0,525,1002,953,56,411,209,3394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4711000000,경상북도 포항시,195,0,754,1649,1444,219,535,391,5187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4711100000,경상북도 포항시 남구,141,0,637,1218,1127,208,419,188,3938,10700.0,29.383333333333336,3.0,1785.7142857142858,51.42857142857143,32.79571428571428,7.0,10.0
4711300000,경상북도 포항시 북구,161,0,673,1361,1296,211,437,311,4450,10000.0,81.36,1.0,1425.0,45.75,47.6125,4.0,5.0
4713000000,경상북도 경주시,144,1,408,1371,826,40,437,241,3468,12483.333333333334,74.93,6.0,825.0,66.25,67.9725,4.0,10.0
4715000000,경상북도 김천시,136,3,287,601,630,25,237,134,2053,9766.666666666666,32.49666666666666,3.0,971.4285714285714,37.285714285714285,28.11428571428572,7.0,10.0
4717000000,경상북도 안동시,109,0,284,539,412,20,168,128,1660,0.0,0.0,0.0,350.0,39.2,26.871,10.0,10.0
4719000000,경상북도 구미시,232,9,730,1428,1722,77,719,364,5281,8100.0,31.406666666666663,3.0,385.7142857142857,35.714285714285715,30.78,7.0,10.0
4721000000,경상북도 영주시,98,0,169,325,286,25,97,115,1115,20000.0,71.96,1.0,0.0,0.0,0.0,0.0,1.0
4723000000,경상북도 영천시,89,4,244,475,335,31,210,111,1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4725000000,경상북도 상주시,114,0,131,290,184,13,76,123,931,19000.0,84.88,1.0,0.0,0.0,0.0,0.0,1.0
4728000000,경상북도 문경시,124,0,225,437,261,20,119,182,1368,19000.0,84.65,2.0,0.0,0.0,0.0,0.0,2.0
4729000000,경상북도 경산시,533,424,4587,6044,8003,1397,1908,998,23894,0.0,0.0,0.0,625.0,49.25,25.485,4.0,4.0
4773000000,경상북도 의성군,74,0,92,205,45,6,35,55,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4775000000,경상북도 청송군,45,0,30,144,11,6,18,58,312,7000.0,25.91,1.0,1833.3333333333333,43.66666666666666,32.99666666666666,3.0,4.0
4776000000,경상북도 영양군,24,0,23,69,12,6,12,33,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4777000000,경상북도 영덕군,31,0,45,166,28,15,55,96,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4782000000,경상북도 청도군,108,3,347,804,587,46,215,164,2274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4783000000,경상북도 고령군,98,124,194,432,395,24,195,120,1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4784000000,경상북도 성주군,124,26,311,624,679,18,268,173,2223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4785000000,경상북도 칠곡군,369,104,1547,2511,3295,136,1192,698,9852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4790000000,경상북도 예천군,77,0,60,215,138,7,59,90,646,0.0,0.0,0.0,4000.0,25.0,24.56,1.0,1.0
4792000000,경상북도 봉화군,113,0,173,347,291,24,102,97,1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4793000000,경상북도 울진군,40,0,43,190,88,13,63,93,530,0.0,0.0,0.0,500.0,45.0,42.42,1.0,1.0
4794000000,경상북도 울릉군,16,0,3,41,3,1,12,8,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4812000000,경상남도 창원시,307,20,1550,2653,3126,457,1030,561,9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4812100000,경상남도 창원시 의창구,174,0,1009,1555,1867,422,586,343,5956,17800.0,44.03,1.0,611.1111111111111,68.88888888888889,30.89555555555556,9.0,10.0
4812300000,경상남도 창원시 성산구,119,26,718,1235,1365,334,447,305,4549,0.0,0.0,0.0,880.0,47.2,29.396,10.0,10.0
4812500000,경상남도 창원시 마산합포구,109,0,596,956,1089,115,383,143,3391,9000.0,21.52,1.0,1266.6666666666667,29.0,31.692222222222224,9.0,10.0
4812700000,경상남도 창원시 마산회원구,133,0,781,1167,1448,123,474,214,4340,11750.0,50.93,4.0,1250.0,45.0,37.61833333333333,6.0,10.0
