dong_code,region_name,school,subway,hospital,cafe,total_score
2614010500,부산광역시 서구 서대신동2가,58,91,577,769,2312
2614010600,부산광역시 서구 서대신동3가,53,51,407,482,1555
2614010700,부산광역시 서구 부용동1가,68,97,684,901,2696
2614010800,부산광역시 서구 부용동2가,66,97,684,901,2692
2614010900,부산광역시 서구 부민동1가,70,97,690,918,2729
2614011000,부산광역시 서구 부민동2가,73,93,693,916,2727
2614011100,부산광역시 서구 부민동3가,66,91,691,905,2692
2614011200,부산광역시 서구 토성동1가,76,93,678,919,2706
2614011300,부산광역시 서구 토성동2가,72,93,694,917,2728
2614011400,부산광역시 서구 토성동3가,70,93,694,912,2719
2614011500,부산광역시 서구 아미동1가,71,85,695,898,2685
2614011600,부산광역시 서구 아미동2가,68,91,670,856,2605
2614011700,부산광역시 서구 토성동4가,75,89,680,928,2705
2614011800,부산광역시 서구 토성동5가,71,85,689,916,2691
2614011900,부산광역시 서구 초장동,74,85,674,894,2645
2614012000,부산광역시 서구 충무동1가,75,85,665,917,2652
2614012100,부산광역시 서구 충무동2가,75,85,676,903,2660
2614012200,부산광역시 서구 충무동3가,74,85,652,891,2598
2614012300,부산광역시 서구 남부민동,64,68,544,776,2196
2614012400,부산광역시 서구 암남동,6,353,42,53,1208
2617010100,부산광역시 동구 초량동,48,23,548,780,2041
2617010200,부산광역시 동구 수정동,60,96,507,646,2068
2617010300,부산광역시 동구 좌천동,63,111,650,855,2614
2617010400,부산광역시 동구 범일동,64,123,920,1099,3436
2620010100,부산광역시 영도구 대교동1가,65,68,523,825,2205
2620010200,부산광역시 영도구 대교동2가,64,64,504,806,2134
2620010300,부산광역시 영도구 대평동1가,68,68,525,835,2225
2620010400,부산광역시 영도구 대평동2가,68,71,545,860,2299
2620010500,부산광역시 영도구 남항동1가,67,64,495,799,2115
2620010600,부산광역시 영도구 남항동2가,66,59,480,766,2035
2620010700,부산광역시 영도구 남항동3가,69,49,459,725,1928
2620010800,부산광역시 영도구 영선동1가,64,57,480,774,2033
2620010900,부산광역시 영도구 영선동2가,64,55,474,744,1985
2714013700,대구광역시 동구 용수동,3,106,0,25,349
2714013800,대구광역시 동구 신무동,79,17,0,14,223
2714013900,대구광역시 동구 미대동,3,205,0,13,634
2620011000,부산광역시 영도구 영선동3가,61,49,466,712,1913
