sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
4882000000,경상남도 고성군,8,0,28,71,61,3,25,5,201
4884000000,경상남도 남해군,5,0,24,51,38,3,21,4,146
4885000000,경상남도 하동군,5,0,17,45,21,3,11,3,105
4886000000,경상남도 산청군,3,0,9,25,12,2,8,5,64
4887000000,경상남도 함양군,7,0,23,44,56,3,20,13,166
4888000000,경상남도 거창군,16,0,51,103,165,3,48,12,398
4889000000,경상남도 합천군,6,0,24,36,29,3,18,6,122
5011000000,제주특별자치도 제주시,25,0,229,561,584,2,206,41,1648
5013000000,제주특별자치도 서귀포시,9,0,94,217,168,4,100,20,612
4159100000,경기도 화성시 만세구,1,0,1,14,1,0,13,0,30
5280000000,전북특별자치도 부안군,10,0,42,60,57,1,27,11,208
5279000000,전북특별자치도 고창군,7,0,39,48,74,2,25,11,206
5277000000,전북특별자치도 순창군,8,0,25,37,19,2,11,2,104
5275000000,전북특별자치도 임실군,4,0,11,27,10,3,7,2,64
5274000000,전북특별자치도 장수군,3,0,6,22,13,2,6,6,58
5273000000,전북특별자치도 무주군,4,0,14,28,20,2,9,6,83
5272000000,전북특별자치도 진안군,6,0,16,26,13,2,11,4,78
5271000000,전북특별자치도 완주군,1,0,0,6,0,1,3,3,14
5221000000,전북특별자치도 김제시,13,0,67,87,81,3,40,6,297
5219000000,전북특별자치도 남원시,15,0,80,172,115,7,44,19,452
5218000000,전북특별자치도 정읍시,17,0,103,177,158,8,66,11,540
5214000000,전북특별자치도 익산시,32,0,182,342,378,7,103,22,1066
5213000000,전북특별자치도 군산시,15,0,106,223,284,4,73,4,709
5211300000,전북특별자치도 전주시 덕진구,36,0,282,639,561,6,161,58,1743
4119600000,경기도 부천시 오정구,22,1,132,161,186,4,117,11,634
5211000000,전북특별자치도 전주시,36,0,191,560,363,3,117,81,1351
5211100000,전북특별자치도 전주시 완산구,32,0,288,462,739,8,145,15,1689
4119400000,경기도 부천시 소사구,34,5,301,424,467,9,197,9,1446
4119200000,경기도 부천시 원미구,30,7,369,581,548,12,244,18,1809
5183000000,강원특별자치도 양양군,4,0,14,36,23,3,20,3,103
2772000000,대구광역시 군위군,3,0,12,23,11,1,6,2,58
5182000000,강원특별자치도 고성군,3,0,9,13,8,2,7,2,44
5181000000,강원특별자치도 인제군,4,0,8,18,16,1,16,8,71
5179000000,강원특별자치도 화천군,4,0,10,32,18,1,12,6,83
5180000000,강원특별자치도 양구군,7,0,9,35,23,1,17,15,107
5178000000,강원특별자치도 철원군,3,0,7,26,18,2,9,5,70
